table_name,constraint_type,column_name,referans_tablo,referans_kolon
assets,FOREIGN KEY,user_id,null,null
assets,CHECK,null,null,null
assets,CHECK,null,null,null
assets,CHECK,null,null,null
assets,CHECK,null,null,null
assets,PRIMARY KEY,id,assets,id
backgrounds,CHECK,null,null,null
backgrounds,CHECK,null,null,null
backgrounds,PRIMARY KEY,id,backgrounds,id
backgrounds,FOREIGN KEY,owner_id,null,null
backgrounds,CHECK,null,null,null
backgrounds,CHECK,null,null,null
backgrounds,CHECK,null,null,null
backgrounds,CHECK,null,null,null
backgrounds,CHECK,null,null,null
credit_transactions,CHECK,null,credit_transactions,type
credit_transactions,FOREIGN KEY,user_id,profiles,id
credit_transactions,CHECK,null,null,null
credit_transactions,CHECK,null,null,null
credit_transactions,CHECK,null,null,null
credit_transactions,CHECK,null,null,null
credit_transactions,CHECK,null,null,null
credit_transactions,PRIMARY KEY,id,credit_transactions,id
downloads,CHECK,null,null,null
downloads,CHECK,null,null,null
downloads,CHECK,null,null,null
downloads,FOREIGN KEY,generation_image_id,generation_images,id
downloads,PRIMARY KEY,id,downloads,id
downloads,FOREIGN KEY,user_id,null,null
downloads,CHECK,null,null,null
generation_images,CHECK,null,null,null
generation_images,FOREIGN KEY,generation_id,generations,id
generation_images,PRIMARY KEY,id,generation_images,id
generation_images,FOREIGN KEY,user_id,null,null
generation_images,CHECK,null,null,null
generation_images,CHECK,null,null,null
generation_images,CHECK,null,null,null
generation_images,CHECK,null,null,null
generation_images,CHECK,null,null,null
generation_images,CHECK,null,null,null
generations,CHECK,null,null,null
generations,CHECK,null,null,null
generations,PRIMARY KEY,id,generations,id
generations,CHECK,null,generations,status
generations,CHECK,null,generations,tool
generations,FOREIGN KEY,user_id,profiles,id
generations,CHECK,null,null,null
generations,CHECK,null,null,null
generations,CHECK,null,null,null
generations,CHECK,null,null,null
generations,CHECK,null,null,null
model_favorites,PRIMARY KEY,model_id,model_favorites,model_id
model_favorites,PRIMARY KEY,model_id,model_favorites,user_id
model_favorites,FOREIGN KEY,user_id,null,null
model_favorites,CHECK,null,null,null
model_favorites,CHECK,null,null,null
model_favorites,CHECK,null,null,null
model_favorites,FOREIGN KEY,model_id,models,id
model_favorites,PRIMARY KEY,user_id,model_favorites,model_id
model_favorites,PRIMARY KEY,user_id,model_favorites,user_id
models,FOREIGN KEY,owner_id,null,null
models,FOREIGN KEY,owner_user_id,profiles,id
models,CHECK,null,null,null
models,PRIMARY KEY,id,models,id
models,CHECK,null,models,scope
models,CHECK,null,models,source
models,CHECK,null,null,null
models,CHECK,null,null,null
models,CHECK,null,null,null
models,CHECK,null,null,null
models,CHECK,null,null,null
models,CHECK,null,null,null
models,CHECK,null,models,gender
models,CHECK,null,models,gender
pose_favorites,PRIMARY KEY,pose_id,pose_favorites,pose_id
pose_favorites,PRIMARY KEY,user_id,pose_favorites,pose_id
pose_favorites,CHECK,null,null,null
pose_favorites,CHECK,null,null,null
pose_favorites,FOREIGN KEY,user_id,null,null
pose_favorites,CHECK,null,null,null
pose_favorites,FOREIGN KEY,pose_id,poses,id
pose_favorites,PRIMARY KEY,pose_id,pose_favorites,user_id
pose_favorites,PRIMARY KEY,user_id,pose_favorites,user_id
poses,CHECK,null,null,null
poses,CHECK,null,poses,category
poses,CHECK,null,poses,direction
poses,PRIMARY KEY,id,poses,id
poses,CHECK,null,poses,shot_type
poses,CHECK,null,null,null
poses,CHECK,null,null,null
poses,CHECK,null,null,null
poses,CHECK,null,null,null
poses,CHECK,null,null,null
poses,CHECK,null,null,null
profiles,FOREIGN KEY,id,null,null
profiles,CHECK,null,profiles,preferred_language
profiles,CHECK,null,profiles,role
profiles,CHECK,null,null,null
profiles,CHECK,null,null,null
profiles,CHECK,null,null,null
